"index","pos","neg","len"
1738,80,36,1578
1739,9,2,212
1740,23,10,487
1741,9,4,169
1742,1,1,52
1743,13,4,289
1744,11,2,215
1745,3,4,103
1746,40,16,706
1747,47,29,1226
1748,99,26,1130
1749,46,21,1299
1750,1,2,89
1751,0,0,11
1752,73,41,1372
1753,46,24,715
1754,43,32,1062
1755,91,44,1792
1756,6,3,226
1757,35,15,680
1758,4,6,154
1759,17,10,287
1760,14,6,246
1761,64,26,1323
1762,57,45,1075
1763,2,1,132
1764,1,0,21
1765,2,0,22
1766,9,1,129
1767,15,6,291
1768,2,0,42
1769,13,3,287
1770,12,3,230
1771,28,9,557
1772,6,6,177
1773,6,7,178
1774,24,7,485
1775,6,0,91
1776,34,23,617
1777,10,1,244
1778,9,5,246
1779,8,2,183
1780,3,1,104
1781,47,34,1358
1782,33,13,647
1783,58,31,1276
1784,17,12,523
1785,20,8,451
1786,61,33,1619
1787,13,6,330
1788,19,10,390
1789,31,15,788
1790,34,22,689
1791,13,10,381
1792,50,25,701
1793,25,28,613
1794,40,21,651
1795,14,16,499
1796,14,21,280
1797,27,16,578
1798,6,6,231
1799,26,13,410
1800,20,17,517
1801,15,11,319
1802,7,8,255
1803,41,26,945
1804,4,4,168
1805,36,24,673
1806,28,25,608
1807,37,18,602
1808,63,68,1577
1809,16,6,271
1810,10,6,135
1811,19,5,329
1812,34,33,747
1813,63,31,1015
1814,45,35,890
1815,31,29,888
1816,30,16,695
1817,13,5,174
1818,41,32,655
1819,28,20,608
1820,48,18,766
1821,9,5,237
1822,53,18,757
1823,8,4,164
1824,43,43,829
1825,12,3,165
1826,52,33,865
1827,3,7,174
1828,30,62,663
1829,42,23,633
1830,51,32,873
1831,26,20,678
1832,17,19,447
1833,56,20,802
1834,49,37,889
1835,45,37,940
1836,15,18,340
1837,33,12,636
1838,6,4,171
1839,3,10,198
1840,66,27,737
1841,4,2,162
1842,35,23,723
1843,11,13,276
1844,44,45,888
1845,17,15,699
1846,26,27,508
1847,2,5,186
1848,41,28,1125
1849,30,24,634
1850,5,3,184
1851,28,27,584
1852,30,22,706
1853,17,4,308
1854,23,17,430
1855,8,10,375
1856,31,21,869
1857,9,4,160
1858,38,18,776
1859,14,10,311
1860,35,47,628
1861,10,14,274
1862,31,28,664
1863,7,1,167
1864,27,16,598
1865,20,5,314
1866,27,19,678
1867,40,33,900
1868,11,5,213
1869,32,29,803
1870,12,11,309
1871,23,16,467
1872,11,6,344
1873,14,14,387
1874,15,9,435
1875,10,6,202
1876,12,9,461
1877,25,13,526
1878,27,22,537
1879,11,9,369
1880,16,9,425
1881,9,9,185
1882,7,8,168
1883,43,32,1087
1884,9,14,416
1885,5,4,108
1886,14,4,388
1887,16,13,450
1888,2,1,69
1889,26,11,653
1890,13,8,289
1891,0,4,209
1892,13,10,409
1893,9,7,139
1894,23,10,382
1895,18,13,379
1896,27,19,427
1897,8,4,205
1898,9,9,274
1899,3,2,82
1900,10,13,472
1901,2,2,106
1902,2,1,48
1903,3,6,105
1904,5,3,257
1905,9,9,395
1906,12,5,223
1907,10,3,201
1908,7,2,245
1909,5,3,228
1910,4,1,209
1911,36,26,598
1912,32,15,760
1913,16,9,542
1914,2,4,197
1915,31,17,592
1916,21,19,550
1917,23,8,483
1918,26,19,497
1919,8,13,350
1920,27,19,762
1921,4,7,187
1922,14,7,249
1923,11,8,201
1924,39,24,731
1925,11,7,206
1926,42,31,706
1927,23,24,671
1928,25,14,569
1929,16,7,405
1930,31,30,646
1931,9,8,405
1932,31,11,466
1933,45,9,645
1934,13,5,327
1935,28,15,585
1936,20,18,638
1937,33,6,519
1938,10,1,233
1939,5,0,30
1940,7,6,218
1941,62,67,1797
1942,13,5,236
1943,9,4,114
1944,13,7,177
1945,136,97,2534
1946,18,7,201
1947,16,2,262
1948,13,10,291
1949,59,26,1090
1950,29,22,542
1951,16,9,219
1952,15,6,243
1953,54,51,1017
1954,21,7,329
1955,17,8,243
1956,24,3,241
1957,58,54,1104
1958,28,13,612
1959,11,4,156
1960,13,6,129
1961,23,12,677
1962,12,11,571
1963,5,17,361
1964,9,8,391
1965,40,21,885
1966,27,23,647
1967,40,23,754
1968,15,12,420
1969,13,0,297
1970,14,10,416
1971,32,22,743
1972,34,14,670
1973,21,15,606
1974,56,41,1020
1975,24,6,416
1976,130,77,1971
1977,12,6,337
1978,34,41,971
1979,11,9,318
1980,29,22,877
1981,20,14,483
1982,23,17,646
1983,47,30,791
1984,16,6,504
1985,17,5,371
1986,7,2,168
1987,14,5,353
1988,36,17,600
1989,3,4,99
1990,48,13,775
1991,19,12,436
1992,8,2,260
1993,9,4,142
1994,29,16,545
1995,26,26,727
1996,65,31,1054
1997,37,37,952
1998,15,4,397
1999,10,8,340
2000,21,16,613
2001,31,56,1009
2002,12,10,375
2003,19,15,612
2004,4,1,105
2005,27,19,781
2006,11,6,304
2007,16,10,266
2008,24,13,736
2009,20,9,475
2010,35,30,832
2011,26,16,694
2012,14,13,491
2013,61,29,1137
2014,35,22,723
2015,39,22,675
2016,30,23,621
2017,0,2,118
2018,3,7,154
2019,36,28,1154
2020,18,5,364
2021,54,44,1230
2022,3,0,132
2023,6,4,121
2024,0,0,110
2025,22,11,354
2026,25,10,613
2027,31,13,522
2028,19,14,739
2029,0,0,0
2030,18,18,401
